name,id,rating,ACS,K,D,A,KD_diff,KAST,ADR,FK,FD,op_diff,opponent,date
Derke,5022,1.23,287,20,19,4,1,78,179,8,4,+4,Team Liquid,2025-02-09
Less,8447,1.14,227,20,17,5,3,78,140,0,1,-1,Team Liquid,2025-02-09
trexx,2168,0.63,161,12,19,4,-7,70,120,1,4,-3,Team Liquid,2025-02-09
Kicks,11134,0.62,103,9,16,7,-7,65,66,0,2,-2,Team Liquid,2025-02-09
Sayf,312,0.37,112,9,20,4,-11,52,70,2,1,+1,Team Liquid,2025-02-09
paTiTek,309,1.45,238,20,11,5,9,91,155,5,0,+5,Team Vitality,2025-02-09
Keiko,11494,1.43,311,25,16,5,9,83,200,2,1,+1,Team Vitality,2025-02-09
kamyk,1475,1.2,216,19,13,6,6,78,130,1,1,0,Team Vitality,2025-02-09
kamo,14681,0.85,171,13,15,5,-2,74,109,3,6,-3,Team Vitality,2025-02-09
nAts,457,0.68,158,14,15,5,-1,70,105,1,3,-2,Team Vitality,2025-02-09
Sayf,312,1.15,254,19,16,3,3,65,170,2,3,-1,Team Liquid,2025-02-09
Kicks,11134,1.11,207,15,13,5,2,80,133,2,3,-1,Team Liquid,2025-02-09
Less,8447,0.82,186,11,16,10,-5,85,126,1,1,0,Team Liquid,2025-02-09
Derke,5022,0.72,175,13,16,2,-3,70,114,3,2,+1,Team Liquid,2025-02-09
trexx,2168,0.36,104,6,16,5,-10,50,74,1,2,-1,Team Liquid,2025-02-09
kamyk,1475,1.72,269,18,10,10,8,85,182,1,1,0,Team Vitality,2025-02-09
nAts,457,1.09,227,16,14,7,2,80,148,2,1,+1,Team Vitality,2025-02-09
paTiTek,309,1.08,182,14,13,5,1,70,118,3,1,+2,Team Vitality,2025-02-09
kamo,14681,1.03,221,18,14,0,4,75,133,3,3,0,Team Vitality,2025-02-09
Keiko,11494,0.85,140,11,13,2,-2,70,98,2,3,-1,Team Vitality,2025-02-09
Sayf,312,1.6,301,21,11,8,10,74,186,1,1,0,Team Liquid,2025-02-09
Derke,5022,1.21,277,17,14,5,3,74,183,3,3,0,Team Liquid,2025-02-09
Kicks,11134,1.1,223,15,12,8,3,84,121,4,1,+3,Team Liquid,2025-02-09
Less,8447,0.97,158,11,11,5,0,63,111,1,2,-1,Team Liquid,2025-02-09
trexx,2168,0.94,132,10,10,6,0,84,78,2,1,+1,Team Liquid,2025-02-09
kamo,14681,1.12,283,18,15,3,3,68,187,2,1,+1,Team Vitality,2025-02-09
paTiTek,309,0.88,156,11,13,2,-2,63,121,1,1,0,Team Vitality,2025-02-09
kamyk,1475,0.73,152,11,17,2,-6,58,107,4,2,+2,Team Vitality,2025-02-09
Keiko,11494,0.71,161,11,15,0,-4,63,109,1,3,-2,Team Vitality,2025-02-09
nAts,457,0.57,106,7,14,4,-7,58,74,0,4,-4,Team Vitality,2025-02-09
Less,8447,1.59,269,22,11,5,11,80,192,2,0,+2,Team Liquid,2025-02-09
Sayf,312,1.16,227,16,11,4,5,75,135,3,1,+2,Team Liquid,2025-02-09
trexx,2168,1.09,185,13,12,12,1,85,114,2,1,+1,Team Liquid,2025-02-09
Derke,5022,1.02,212,15,12,2,3,70,129,6,4,+2,Team Liquid,2025-02-09
Kicks,11134,0.77,166,12,14,4,-2,60,121,1,0,+1,Team Liquid,2025-02-09
kamyk,1475,1.26,215,17,13,0,4,70,147,0,2,-2,Team Vitality,2025-02-09
Keiko,11494,1.21,289,19,18,9,1,75,192,4,1,+3,Team Vitality,2025-02-09
paTiTek,309,0.8,137,9,14,8,-5,60,92,1,2,-1,Team Vitality,2025-02-09
kamo,14681,0.73,155,10,16,3,-6,60,107,1,5,-4,Team Vitality,2025-02-09
nAts,457,0.43,103,5,17,7,-12,45,83,0,4,-4,Team Vitality,2025-02-09
Sayf,312,1.59,269,22,12,4,10,71,163,3,1,+2,Team Liquid,2025-02-09
Less,8447,1.36,229,18,10,7,8,90,127,0,1,-1,Team Liquid,2025-02-09
Kicks,11134,0.91,131,8,13,17,-5,81,84,1,1,0,Team Liquid,2025-02-09
Derke,5022,0.9,223,16,16,4,0,57,151,3,9,-6,Team Liquid,2025-02-09
trexx,2168,0.77,172,11,14,6,-3,57,110,2,0,+2,Team Liquid,2025-02-09
Keiko,11494,1.56,290,22,13,6,9,81,171,2,0,+2,Team Vitality,2025-02-09
nAts,457,0.9,181,13,14,3,-1,67,132,4,3,+1,Team Vitality,2025-02-09
kamyk,1475,0.79,168,12,15,3,-3,67,114,3,4,-1,Team Vitality,2025-02-09
kamo,14681,0.68,157,11,16,3,-5,71,111,1,2,-1,Team Vitality,2025-02-09
paTiTek,309,0.36,98,7,18,3,-11,52,58,2,0,+2,Team Vitality,2025-02-09
