Player,Team,Player_Strength
azys,RIVAL,130.73
aspas,MIBR,127.83
ZmjjKK,EDward Gaming,126.13
Ninebody,TYLOO,125.7
something,Paper Rex,123.98
cNed,FUT Esports,123.71
zekken,Sentinels,123.6
f0rsakeN,Paper Rex,123.25
Spring,Wolves Esports,122.03
xeus,FUT Esports,122.01
stew,JDG Esports,121.49
keznit,KRÜ Esports,120.91
vo0kashu,Dragon Ranger Gaming,119.75
Alfajer,FNATIC,119.66
kamo,Team Liquid,119.63
mwzera,FURIA,119.61
Jinggg,Paper Rex,119.53
popogachi,IGZIST,119.52
purp0,GIANTX,118.96
sociablEE,BBL Esports,117.96
Cloud,GIANTX,117.85
canezera,RANKERS,117.75
jawgemo,G2 Esports,117.48
sheydos,KOI,117.46
kiNgg,LEVIATÁN,117.31
trent,G2 Esports,117.23
Cryocells,100 Thieves,117.11
marteen,Karmine Corp,116.94
invy,Team Secret,116.92
primmie,TALON,116.17
MOLSI,Apeks,116.05
Seoldam,RIDDLE ORDER,115.86
K4DAVRA,Gentle Mates,115.65
Keiko,Team Liquid,115.5
BuZz,T1,115.49
Filu,KOI,115.04
jakee,YFP,114.93
satellite,Ambrosia,114.85
runneR,GIANTX,114.72
SWERL,Nova Esports,114.59
Life,FunPlus Phoenix,114.57
kaajak,FNATIC,114.31
Dep,ZETA DIVISION,113.89
eKo,NOEZ FOXX,113.39
Asuna,100 Thieves,113.3
Flashback,DRX,113.26
Elite,Karmine Corp,113.21
Wo0t,Team Heretics,113.19
leaf,G2 Esports,113.07
Chronicle,FNATIC,112.77
Munchkin,Gen.G,112.28
yetujey,FUT Esports,112.07
Eren,TYLOO,112.06
heat,FURIA,111.8
iZu,T1,111.78
FengF,Trace Esports,111.3
Akame,nobody in Paris,111.17
nAts,Team Liquid,110.72
whzy,Bilibili Gaming,110.64
coconut,Xi Lai Gaming,110.48
Meiy,DetonatioN FocusMe,110.34
Boni,QoR,110.29
Jemkin,Rex Regum Qeon,110.26
Demon1,LEVIATÁN,110.05
Spaz,Moist x Shopify,109.9
tomaszy,GIANTX,109.87
kamyk,Team Liquid,109.84
OXY,Cloud9,109.72
bang,Sentinels,109.69
Smoggy,EDward Gaming,109.66
d4v41,Paper Rex,109.66
UdoTan,Global Esports,109.64
YOU,Xi Lai Gaming,109.57
Verno,NRG Esports,109.49
paTiTek,Team Liquid,109.49
SpiritZ1,Dragon Ranger Gaming,109.16
Reduxx,Cubert Academy,108.92
penny,YFP,108.88
N4RRATE,Sentinels,108.82
Meteor,T1,108.8
nephh,Bilibili Gaming,108.77
hiro,Natus Vincere,108.73
Mazino,KRÜ Esports,108.69
KEN,CREST GAMING Zst,108.56
s0m,NRG Esports,108.52
AtaKaptan,FUT Esports,108.47
Jremy,Team Secret,108.26
Pa1nt,Moist x Shopify,108.25
Karon,Gen.G,107.99
t3xture,Gen.G,107.92
Rarga,Xi Lai Gaming,107.57
Monyet,Rex Regum Qeon,107.57
cauanzin,LOUD,107.57
havoc,FURIA,107.34
eeiu,100 Thieves,106.93
Yuicaw,Wolves Esports,106.86
Ethan,NRG Esports,106.51
MrFaliN,FUT Esports,106.5
SUYGETSU,Karmine Corp,106.46
Rb,Titan Esports Club,106.25
Dragon,JiJieHao,106.09
LEW,JiJieHao,106.01
gobera,2Game Esports,106.0
MiniBoo,Team Heretics,105.97
