team,Team_Strength
TYLOO,116.66
Paper Rex,112.02
Cubert Academy,109.88
GIANTX,106.29
Sentinels,104.75
G2 Esports,104.29
FUT Esports,104.23
T1,103.85
Team Liquid,103.67
Dragon Ranger Gaming,103.66
Karmine Corp,103.66
Rex Regum Qeon,103.04
Moist x Shopify,102.19
FNATIC,101.76
TSM,100.54
Wolves Esports,100.35
LOUD,99.83
NRG Esports,99.31
Gen.G,99.14
DRX,98.54
QoR,98.23
KOI,97.64
LEVIATÁN,97.62
EDward Gaming,97.49
JiJieHao,97.41
Nova Esports,96.94
2Game Esports,96.77
100 Thieves,96.07
TUMT Shark,95.27
Xi Lai Gaming,95.21
TALON,95.03
CREST GAMING Zst,94.86
Team Heretics,94.45
FunPlus Phoenix,94.22
YFP Gaming,94.0
Disguised,93.58
RIDDLE ORDER,93.3
ZETA DIVISION,93.02
The Ultimates,92.53
JDG Esports,92.35
Global Esports,91.53
BOOM Esports,91.43
DetonatioN FocusMe,90.39
Cloud9,90.27
Gentle Mates,89.56
Trust In Plug,89.04
BBL Esports,88.82
BABO,88.48
Turtle Troop,87.73
Evil Geniuses,87.41
SaD Esports,87.19
All Gamers,87.1
Bilibili Gaming,87.05
Level 5,85.73
KRÜ Esports,85.57
Chaos Alliance,85.54
Apeks,85.14
BC SWELL,83.49
Trace Esports,83.04
Nongshim RedForce,81.53
Onyx Ravens,79.36
ZOL Esports,79.29
Next Gen,79.29
Unsigned5,77.41
Delight,76.8
Titan Esports Club,76.22
Team NKT Academy,76.16
Ambrosia,76.11
Reckoning Esports,75.98
NOEZ FOXX,75.35
DRAGONS,75.19
Alter Ego,74.76
Original Gaming,68.01
Shopify Rebellion,35.6
Ambitious Legend Gaming GC,35.6
KRÜ BLAZE,35.54
oomfies,33.3
Xipto Esports,33.14
Team Falcons Vega,32.85
G2 Gozen,32.6
MIBR GC,32.14
YFP X,30.05
GIANTX GC,29.91
FlyQuest RED,29.61
Teddy Tactics,29.59
Refrag,28.42
ZETA DIVISION GC,27.47
Elation Vortex,25.94
mesos millionaires,25.7
Paper Rex x Spotlight Series,23.0
esports team αD,
Stacked Like Pancakes,
LAZY,
Mogo eSports,
Team Rotib4kar,
Team Jeicchu,
Natus Vincere,
Team ESOTERIC,
Team CombatBaby,
BLUE BEES.ESP,
club penguin,
CNEsports,
Tiny Turtle Squad,
Unicorn Cyber Esports,
Randoms,
Team beejaayyy,
RANKERS,
Team JoshF,
True Rippers,
Team Cece,
IGZIST,
DRX Changers,
APAY Academy,
FURIA,
DUPG Esports,
Team Poupi,
Team Micera,
Team Coldan,
Team Big BAAM,
Xipto x Global Esports,
Exsto Gaming,
Dreams To Legends,
Orangutan,
Blue Eyes White Dragon,
Team Vitality,
BITEKI,
Team Kira,
Team Secret,
RIVAL,
Asterisk,
Veterans,
Team xclvsssyx,
New World Order,
Qadsiah Esports,
MiBH,
Team Sampphire,
Team sol8erry,
MIBR,
Team Elzira,
Team Flash,
Nightblood Gaming,
Team yanxinng,
All Gamers Young,
Reformed GC,
floppers,
Passion Project,
Solstice,
