team,Team_Strength,Player_Count
Paper Rex,113.81,8
Team Liquid,112.0,8
FUT Esports,110.81,8
TYLOO,109.68,6
G2 Esports,109.12,7
GIANTX,108.86,7
T1,107.8,9
Natus Vincere,107.21,7
Karmine Corp,106.69,7
Sentinels,105.8,10
FNATIC,105.63,8
100 Thieves,104.91,7
Wolves Esports,104.12,7
KOI,104.06,8
Moist x Shopify,103.97,7
KRÜ Esports,103.71,8
RIVAL,103.44,6
EDward Gaming,103.13,9
MIBR,103.12,6
LEVIATÁN,102.89,7
Rex Regum Qeon,102.72,7
Gen.G,102.46,7
Team Secret,102.06,6
Team Heretics,101.94,8
Xi Lai Gaming,101.9,7
FunPlus Phoenix,101.57,7
FURIA,100.91,6
Nova Esports,100.83,7
NRG Esports,100.77,7
DRX,100.36,7
JDG Esports,99.21,9
TALON,99.16,7
Global Esports,98.54,9
Orangutan,98.34,7
ZETA DIVISION,98.21,8
LOUD,98.03,6
RANKERS,98.03,5
Gentle Mates,97.57,8
JiJieHao,97.48,8
RIDDLE ORDER,97.46,7
YFP Gaming,96.35,5
DetonatioN FocusMe,96.1,8
All Gamers,95.98,8
Bilibili Gaming,95.04,8
Disguised,94.38,6
CREST GAMING Zst,94.02,6
BOOM Esports,94.02,8
TSM,94.0,6
NOEZ FOXX,93.37,8
2Game Esports,93.23,7
Cloud9,93.22,7
Dragon Ranger Gaming,93.12,10
BBL Esports,92.7,7
Trace Esports,92.59,6
The Ultimates,92.45,5
QoR,92.08,7
Level 5,91.66,5
True Rippers,91.38,8
IGZIST,91.21,6
MiBH,90.73,5
Nightblood Gaming,90.65,6
Titan Esports Club,90.18,8
Apeks,89.03,6
BABO,88.9,7
Trust In Plug,88.08,5
Team Flash,87.55,6
Nongshim RedForce,87.32,6
ZOL Esports,86.96,6
Reckoning Esports,85.45,9
Unsigned5,83.82,6
CNEsports,83.48,5
LAZY,83.23,5
BC SWELL,83.07,6
Team Big BAAM,82.13,5
Next Gen,81.01,6
esports team αD,79.82,10
Onyx Ravens,79.07,7
Delight,78.94,7
TUMT Shark,78.93,5
BLUE BEES.ESP,78.73,5
Alter Ego,78.66,7
Unicorn Cyber Esports,78.44,6
Team NKT Academy,77.79,6
Original Gaming,75.34,5
BITEKI,73.54,7
DRAGONS,73.03,7
Exsto Gaming,73.03,6
Ambrosia,71.61,5
club penguin,70.22,8
Randoms,67.18,7
Shopify Rebellion,40.62,5
Ambitious Legend Gaming GC,36.6,6
KRÜ BLAZE,35.36,6
oomfies,34.81,5
G2 Gozen,34.25,6
MIBR GC,34.11,6
Team Falcons Vega,33.47,7
Paper Rex x Spotlight Series,33.0,5
FlyQuest RED,32.07,7
GIANTX GC,31.56,5
YFP X,31.5,6
ZETA DIVISION GC,31.38,5
Teddy Tactics,31.05,5
DRX Changers,31.03,8
mesos millionaires,30.81,6
Elation Vortex,28.7,7
Orquestra Do Maestro,0.0,6
VNU Esports,0.0,5
LP33,0.0,5
Fancy United Esports,0.0,7
101 Outlaws,0.0,5
Hungkuang Falcon,0.0,6
把牛變成鱒魚,0.0,6
TBK Esports,0.0,6
Stellae Gaming,0.0,5
SAGAZ,0.0,5
Be Man,0.0,5
Rapid Lofi,0.0,9
The MongolZ,0.0,5
Galorys,0.0,7
LANDODGERS,0.0,5
GOOD BOY,0.0,6
S2 Esports,0.0,5
PR0NETS,0.0,6
Grêmio Esports,0.0,9
TotalePRO,0.0,5
ROA Esport,0.0,5
OCU,0.0,6
Stacked Like Pancakes,,7
Mogo eSports,,6
Tiny Turtle Squad,,6
APAY Academy,,8
DUPG Esports,,6
Xipto x Global Esports,,5
Dreams To Legends,,6
Blue Eyes White Dragon,,6
Team Vitality,,9
Asterisk,,8
Veterans,,5
New World Order,,5
Qadsiah Esports,,6
Reformed GC,,5
Solstice,,6
INHS Yining,,6
CSU,,5
理科純情男高,,5
Evil Samurai,,5
STU樹德暴風樹,,5
Niflheimr,,5
Young Warriors,,5
吳恩熙瓜汁,,5
姊姊壞了我好愛,,5
FOP,,6
Jester Circus,,5
你媽買菜必漲價,,5
HKUF,,5
momo親子台,,5
ZFE,,5
TWA,,5
MYDunWaaAChu,,5
來送幸福的,,5
Daojiang Husky,,5
TUMT Orcinus,,6
