team,team_strength,tier,region,player_count
Paper Rex,115.56,Tier 1,Pacific,8
TYLOO,111.56,Tier 1,China,9
T1,109.18,Tier 1,Pacific,9
GIANTX,108.88,Tier 1,EMEA,7
Team Liquid,108.37,Tier 1,EMEA,7
Wolves Esports,108.25,Tier 1,China,7
G2 Esports,107.75,Tier 1,Americas,6
Rex Regum Qeon,107.7,Tier 1,Pacific,7
Sentinels,107.48,Tier 1,Americas,9
FUT Esports,107.32,Tier 1,EMEA,7
Karmine Corp,106.25,Tier 1,EMEA,7
FNATIC,105.7,Tier 1,EMEA,8
Team Secret,104.92,Tier 1,Pacific,6
EDward Gaming,104.91,Tier 1,China,8
MIBR,104.81,Tier 1,Americas,6
LEVIATÁN,104.71,Tier 1,Americas,6
DRX,104.63,Tier 1,Pacific,7
JDG Esports,104.53,Tier 1,China,9
KRÜ Esports,103.97,Tier 1,Americas,8
Gen.G,103.93,Tier 1,Pacific,7
FunPlus Phoenix,103.24,Tier 1,China,7
Xi Lai Gaming,103.22,Tier 1,China,8
Global Esports,102.95,Tier 1,Pacific,10
Nova Esports,102.81,Tier 1,China,6
JiJieHao,102.49,Tier 2,Australia,8
Evil Geniuses,102.27,Tier 1,Americas,5
FURIA,102.18,Tier 1,Americas,5
100 Thieves,101.95,Tier 1,Americas,7
Gentle Mates,101.67,Tier 1,EMEA,7
Nongshim RedForce,101.28,Tier 1,Pacific,7
KOI,101.25,Tier 1,EMEA,6
Moist x Shopify,100.98,Tier 2,North America,7
Team Heretics,100.77,Tier 1,EMEA,8
Natus Vincere,100.26,Tier 1,EMEA,7
YFP,100.18,,,5
LOUD,99.94,Tier 1,Americas,5
TALON,99.53,Tier 1,Pacific,7
BBL Esports,99.11,Tier 1,EMEA,7
Berzerkers,98.53,,,5
ZETA DIVISION,98.49,Tier 1,Pacific,6
Dragon Ranger Gaming,97.96,Tier 1,China,10
DVM Esport,97.67,Tier 2,France,7
Joblife,97.57,Tier 2,France,6
All Gamers,97.22,Tier 1,China,12
RANKERS,97.11,Tier 2/CVal,North America,5
Bilibili Gaming,97.0,Tier 1,China,8
BOOM Esports,96.78,Tier 1,Pacific,8
PR0NETS,96.59,,,6
RIDDLE ORDER,96.53,Tier 2,Japan,6
DetonatioN FocusMe,96.2,Tier 1,Pacific,8
Pigeons,95.81,,,5
Cloud9,95.45,Tier 1,Americas,7
IGNITE,95.32,Tier 2,MA/Sing,6
Team yanxinng,94.91,,,6
NRG Esports,94.84,Tier 1,Americas,6
Galorys,94.77,Tier 2,Brazil,7
Landor,94.74,,,5
2Game Esports,94.68,Tier 1,Americas,7
Disguised,94.45,Tier 2,MA/Sing,5
Lilmix,94.24,,,6
Todak,94.1,,,8
Mandatory,93.97,Tier 2,France,6
Trace Esports,93.97,Tier 1,China,9
MiBH,93.86,,,5
Himothys,93.86,,,6
Stellae Gaming,93.85,Tier 2,Brazil,5
Eternal Fire,93.75,Tier 2,Turkey,6
Prestige Esports,93.74,,,5
Level 5,93.51,,,5
FOKUS,93.43,Tier 2,DACH,8
DNSTY,93.14,,,5
BBL PCIFIC,92.83,Tier 2,Turkey,6
NOEZ FOXX,92.63,Tier 2,Japan,7
TSM,92.53,Tier 2,North America,6
Team Valiant,92.52,,,7
Papara SuperMassive,92.43,Tier 2,Turkey,7
TeamOrangeGaming,92.28,Tier 2,DACH,5
Titan Esports Club,92.03,Tier 1,China,8
Galatasaray Esports,91.85,Tier 2,Turkey,6
Nightblood Gaming,91.78,Tier 3,North America,6
YDZ Mafia,91.77,,,5
UCAM Esports Club,91.47,Tier 2,Spain,7
Eintracht Frankfurt,91.22,Tier 2,DACH,5
GoodFor3,91.16,,,5
CICADAS Gaming,90.99,,,7
Apeks,90.98,Tier 1,EMEA,6
Barça eSports,90.94,Tier 2,Spain,5
Formulation Gaming,90.92,Tier 2,Polaris,5
