Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m
Nightmare,TUMT Orcinus,1.118,207.668,1.594,132.726,0.72,0.753,0.358,0.098,0.038,226.0,https://www.vlr.gg/player/42921/nightmare?timespan=all,0.82,0.82
明日花,TWA,1.091,203.03,1.213,133.163,0.766,0.748,0.221,0.121,0.079,99.0,https://www.vlr.gg/player/49930/?timespan=all,0.0,0.0
Liovin,Team Cece,0.57,157.0,0.41,118.7,0.63,0.37,0.21,0.05,0.16,19.0,https://www.vlr.gg/player/50049/liovin?timespan=all,0.82,0.82
ray,Team Cece,1.28,320.0,1.4,202.8,0.68,1.11,0.05,0.26,0.16,19.0,https://www.vlr.gg/player/50051/ray?timespan=all,0.82,0.82
maestr0,Orquestra Do Maestro,1.072,228.544,1.101,148.446,0.715,0.796,0.282,0.126,0.114,2863.0,https://www.vlr.gg/player/32717/maestr0?timespan=all,0.0,0.0
phonics,Stellae Gaming,0.41,108.0,0.33,75.8,0.45,0.3,0.35,0.0,0.0,20.0,https://www.vlr.gg/player/2210/phonics?timespan=all,0.0,0.0
peRO,DFM Academy,1.111,237.69,0.856,152.214,0.619,0.759,0.347,0.241,0.067,29.0,https://www.vlr.gg/player/40728/pero?timespan=all,0.0,0.0
desire,KPI Gaming,1.065,212.712,1.092,137.211,0.714,0.765,0.253,0.089,0.072,419.0,https://www.vlr.gg/player/44963/desire?timespan=all,0.95,0.9
B1SK,ZY Gaming,1.154,252.226,1.237,157.831,0.713,0.886,0.167,0.233,0.169,7796.0,https://www.vlr.gg/player/251/b1sk?timespan=all,0.0,0.0
foxy,Fancy United Esports,0.911,164.053,0.834,108.43,0.719,0.589,0.493,0.038,0.07,236.0,https://www.vlr.gg/player/48876/foxy?timespan=all,0.0,0.0
tok1o,Fancy United Esports,0.832,153.424,0.76,97.802,0.703,0.545,0.392,0.091,0.104,297.0,https://www.vlr.gg/player/48573/tok1o?timespan=all,0.0,0.0
dummy,Team Secret,0.832,161.671,0.805,101.114,0.633,0.565,0.285,0.072,0.09,226.0,https://www.vlr.gg/player/7357/dummy?timespan=all,0.0,0.0
kammy,Falke Esports,0.592,108.408,0.486,75.349,0.554,0.369,0.204,0.0,0.042,49.0,https://www.vlr.gg/player/45900/kammy?timespan=all,0.0,0.0
Bubbles,Unjustified,0.966,200.865,0.93,131.635,0.687,0.692,0.28,0.095,0.087,3982.0,https://www.vlr.gg/player/26229/bubbles?timespan=all,0.0,0.0
Wen,F5 Esports,0.794,166.054,0.758,110.171,0.651,0.587,0.258,0.069,0.129,1846.0,https://www.vlr.gg/player/26880/wen?timespan=all,0.0,0.0
Citrus,F5 Esports,0.87,162.152,0.815,103.307,0.697,0.551,0.325,0.046,0.072,297.0,https://www.vlr.gg/player/13753/citrus?timespan=all,0.0,0.0
Avxrsive,F5 Esports,0.894,203.337,0.905,129.749,0.656,0.695,0.221,0.14,0.161,797.0,https://www.vlr.gg/player/3714/avxrsive?timespan=all,0.0,0.0
aikz,Unjustified,0.871,177.806,0.789,116.763,0.672,0.594,0.388,0.064,0.096,1170.0,https://www.vlr.gg/player/14982/aikz?timespan=all,0.0,0.0
Corsa,Solana,1.057,219.224,1.071,145.656,0.73,0.762,0.27,0.114,0.109,1078.0,https://www.vlr.gg/player/45836/corsa?timespan=all,0.0,0.0
rain,Awaken Militia,0.987,197.356,0.942,128.876,0.702,0.679,0.351,0.086,0.094,2182.0,https://www.vlr.gg/player/47367/rain?timespan=all,0.0,0.0
Reddot,Wadadaa,0.866,175.02,0.808,116.134,0.674,0.618,0.331,0.063,0.099,3369.0,https://www.vlr.gg/player/28300/reddot?timespan=all,0.0,0.0
colby,Wadadaa,1.034,204.409,1.093,131.219,0.731,0.737,0.321,0.092,0.076,1502.0,https://www.vlr.gg/player/44607/colby?timespan=all,0.0,0.0
jasmin,Wadadaa,1.044,198.766,0.97,132.059,0.698,0.692,0.383,0.076,0.093,335.0,https://www.vlr.gg/player/39766/jasmin?timespan=all,0.0,0.0
wezzy,Digital Athletics,0.994,228.732,1.051,149.395,0.688,0.803,0.174,0.158,0.151,1486.0,https://www.vlr.gg/player/39351/wezzy?timespan=all,0.0,0.0
GUGLi,Cloud9,0.65,168.0,0.82,108.5,0.54,0.61,0.14,0.13,0.08,87.0,https://www.vlr.gg/player/6042/gugli?timespan=all,0.955,0.875
PatMen,ZOL Esports,1.115,239.76,1.147,158.279,0.738,0.843,0.285,0.134,0.111,4640.0,https://www.vlr.gg/player/13744/patmen?timespan=all,0.972,0.871
jEEE,ZOL Esports,0.976,192.226,0.953,128.076,0.723,0.668,0.349,0.074,0.086,4130.0,https://www.vlr.gg/player/21677/jeee?timespan=all,0.979,0.897
Ketzai,Unicorn Cyber Da Nang,0.808,180.6,0.817,116.951,0.641,0.608,0.243,0.1,0.142,672.0,https://www.vlr.gg/player/49584/ketzai?timespan=all,0.82,0.82
QuinT,Unicorn Cyber Da Nang,0.98,169.645,0.898,117.429,0.703,0.607,0.397,0.044,0.059,707.0,https://www.vlr.gg/player/49565/quint?timespan=all,0.82,0.82
X1nh,Unicorn Cyber Da Nang,0.935,215.004,0.946,139.393,0.665,0.75,0.225,0.16,0.157,707.0,https://www.vlr.gg/player/49566/x1nh?timespan=all,0.82,0.82
prettyMy,Unicorn Cyber Da Nang,0.842,175.714,0.671,116.966,0.659,0.575,0.401,0.0,0.089,35.0,https://www.vlr.gg/player/49567/prettymy?timespan=all,0.82,0.82
KeA,Unicorn Cyber Da Nang,1.078,228.409,1.133,145.46,0.699,0.806,0.205,0.13,0.115,5110.0,https://www.vlr.gg/player/8165/kea?timespan=all,0.961,0.814
Creamm,Unicorn Cyber Da Nang,0.969,222.076,0.979,145.473,0.653,0.746,0.195,0.123,0.13,707.0,https://www.vlr.gg/player/49564/creamm?timespan=all,0.82,0.82
Sunshine,TYLOO,0.78,165.91,0.752,106.183,0.643,0.568,0.267,0.086,0.112,1173.0,https://www.vlr.gg/player/14453/sunshine?timespan=all,0.85,0.85
AC,Chosen Clique Gaming,1.014,197.744,1.039,126.974,0.704,0.708,0.259,0.081,0.084,5180.0,https://www.vlr.gg/player/14445/ac?timespan=all,1.0,1.0
YuRiHaNa,DRX Changers,0.597,161.703,0.546,108.959,0.542,0.487,0.298,0.083,0.107,37.0,https://www.vlr.gg/player/29289/yurihana?timespan=all,0.82,0.82
nTK,Team Big BAAM,1.074,214.739,1.134,138.841,0.721,0.756,0.247,0.127,0.103,6055.0,https://www.vlr.gg/player/1432/ntk?timespan=all,0.961,0.794
P1nA,Team Big BAAM,1.031,191.5,1.02,125.407,0.743,0.69,0.392,0.074,0.068,5681.0,https://www.vlr.gg/player/1431/p1na?timespan=all,0.961,0.793
Gais,FUT Esports,0.789,158.0,0.873,101.243,0.671,0.614,0.229,0.014,0.086,70.0,https://www.vlr.gg/player/8845/gais?timespan=all,0.85,0.85
LohaN,Team Liquid,1.032,222.526,1.14,136.938,0.703,0.784,0.179,0.155,0.112,1675.0,https://www.vlr.gg/player/2881/lohan?timespan=all,0.85,0.85
McJuankar,Gentle Mates,0.579,142.861,0.556,100.753,0.601,0.448,0.25,0.093,0.152,101.0,https://www.vlr.gg/player/2600/mcjuankar?timespan=all,0.97,0.893
Athan,DRX Prospects,1.033,203.847,0.985,137.056,0.73,0.688,0.346,0.1,0.1,1015.0,https://www.vlr.gg/player/34982/athan?timespan=all,0.943,0.983
free1ng,DRX,1.124,215.095,1.159,141.196,0.717,0.759,0.211,0.106,0.085,2542.0,https://www.vlr.gg/player/1916/freeing?timespan=all,0.998,0.988
aco,ZETA DIVISION GC,0.937,181.932,0.908,116.031,0.73,0.631,0.417,0.074,0.084,2050.0,https://www.vlr.gg/player/29316/aco?timespan=all,0.3,1.0
vapen,Moist x Shopify,0.716,149.465,0.662,102.072,0.647,0.48,0.374,0.03,0.076,185.0,https://www.vlr.gg/player/8754/vapen?timespan=all,0.85,0.85
tdawgg,TSM,0.944,181.16,0.912,117.508,0.729,0.62,0.384,0.075,0.087,10576.0,https://www.vlr.gg/player/3007/tdawgg?timespan=all,0.925,0.93
XXiF,TSM,1.162,224.898,1.253,146.602,0.746,0.791,0.248,0.118,0.081,12505.0,https://www.vlr.gg/player/1023/xxif?timespan=all,0.958,0.936
Sand,The Ultimates,1.109,212.656,1.198,140.924,0.731,0.766,0.21,0.09,0.078,9885.0,https://www.vlr.gg/player/6503/sand?timespan=all,0.958,0.835
rezy,Al-Qadsiah Esports,0.927,176.491,0.884,116.988,0.711,0.619,0.34,0.063,0.077,8717.0,https://www.vlr.gg/player/11914/rezy?timespan=all,0.955,0.814
Psilence,DRAGONS,0.925,215.744,0.943,140.549,0.668,0.737,0.195,0.178,0.179,1979.0,https://www.vlr.gg/player/46250/sogeking?timespan=all,0.955,0.814
stkJ,LOUD,0.708,147.44,0.714,94.88,0.588,0.54,0.128,0.06,0.142,80.0,https://www.vlr.gg/player/5709/stkj?timespan=all,0.85,0.85
Gorilla,KOI,0.683,136.946,0.599,90.951,0.61,0.448,0.315,0.029,0.078,652.0,https://www.vlr.gg/player/8815/gorilla?timespan=all,0.85,0.85
temoc,KOI,0.886,163.554,0.848,108.862,0.69,0.558,0.297,0.057,0.07,1547.0,https://www.vlr.gg/player/3738/temoc?timespan=all,0.82,0.82
Sinaway,Next Gen,1.079,215.202,1.148,142.357,0.713,0.773,0.237,0.085,0.079,4336.0,https://www.vlr.gg/player/29821/sinaway?timespan=all,0.961,0.806
BiggieCheese,Next Gen,1.043,207.487,1.04,135.823,0.736,0.715,0.375,0.098,0.093,4238.0,https://www.vlr.gg/player/31255/bige?timespan=all,0.961,0.806
Rudi,100 Thieves,1.007,201.266,0.99,132.78,0.715,0.699,0.32,0.102,0.111,4148.0,https://www.vlr.gg/player/16045/rudi?timespan=all,0.82,0.82
potter,Evil Geniuses,0.819,155.453,0.819,102.189,0.687,0.538,0.288,0.05,0.07,2438.0,https://www.vlr.gg/player/3104/potter?timespan=all,0.85,0.85
シガレット,APAY Academy,1.098,218.128,1.121,146.76,0.597,0.725,0.342,0.064,0.06,47.0,https://www.vlr.gg/player/49541/?timespan=all,0.82,0.82
Yatoo,APAY eSports,0.895,180.428,0.83,120.647,0.679,0.604,0.286,0.053,0.041,258.0,https://www.vlr.gg/player/21826/yatoo?timespan=all,0.82,0.82
marqnue,BBL Esports,0.672,167.947,0.805,109.699,0.625,0.574,0.207,0.063,0.093,1231.0,https://www.vlr.gg/player/1400/marqnue?timespan=all,0.85,0.85
ACHRF,Onyx Ravens,1.09,212.446,1.061,142.024,0.743,0.724,0.376,0.084,0.08,7258.0,https://www.vlr.gg/player/12333/achrf?timespan=all,0.955,0.82
JinNy,Ambitious Legend Gaming GC,1.102,179.805,1.012,116.453,0.768,0.641,0.366,0.051,0.053,8017.0,https://www.vlr.gg/player/1909/jinny?timespan=all,0.3,1.0
Muffyn,Ambitious Legend Gaming GC,1.16,253.512,1.255,158.663,0.738,0.869,0.227,0.202,0.15,5467.0,https://www.vlr.gg/player/13232/muffyn?timespan=all,0.3,1.0
JoshRT,G2 Esports,0.946,194.266,0.918,122.101,0.748,0.669,0.313,0.081,0.084,2351.0,https://www.vlr.gg/player/52/joshrt?timespan=all,0.85,0.85
ZiXuan,Rare Atom,1.019,200.215,1.005,125.274,0.716,0.698,0.375,0.075,0.093,1131.0,https://www.vlr.gg/player/4763/zixuan?timespan=all,1.0,1.0
Qlove,Blue Eyes White Dragon,0.876,181.673,0.913,117.426,0.684,0.638,0.144,0.064,0.09,113.0,https://www.vlr.gg/player/48694/finestqueue?timespan=all,0.82,0.82
Pr1ck,Blue Eyes White Dragon,0.917,189.037,0.902,122.182,0.679,0.656,0.308,0.101,0.146,1021.0,https://www.vlr.gg/player/48695/pricckk?timespan=all,0.82,0.82
Toki,Team Falcons Vega,1.167,247.185,1.218,160.001,0.73,0.843,0.249,0.189,0.145,5948.0,https://www.vlr.gg/player/20055/toki?timespan=all,0.3,1.0
eva,Team Falcons Vega,1.209,214.373,1.326,140.615,0.782,0.793,0.284,0.061,0.048,5579.0,https://www.vlr.gg/player/19371/eva?timespan=all,0.3,1.0
Sandra,Team Falcons Vega,1.016,219.315,1.059,142.127,0.705,0.754,0.229,0.151,0.121,4239.0,https://www.vlr.gg/player/29900/sandra?timespan=all,0.3,1.0
kaplan,Sentinels,1.131,166.865,0.878,110.622,0.845,0.57,0.301,0.067,0.047,1068.0,https://www.vlr.gg/player/757/kaplan?timespan=all,0.85,0.85
bonkar,NRG Esports,0.902,159.455,0.861,104.859,0.731,0.547,0.369,0.053,0.06,6494.0,https://www.vlr.gg/player/7/bonkar?timespan=all,0.85,0.85
aplycs,Reckoning Esports,0.972,183.144,0.926,124.308,0.721,0.645,0.324,0.062,0.054,1143.0,https://www.vlr.gg/player/44919/aplycs?timespan=all,0.955,0.825
marin,REVE RISE MAX,1.107,221.247,1.12,139.478,0.723,0.765,0.256,0.13,0.13,4660.0,https://www.vlr.gg/player/1027/marin?timespan=all,0.957,0.84
RIPablo,IGZIST,0.963,176.571,0.951,112.746,0.735,0.632,0.346,0.064,0.068,4710.0,https://www.vlr.gg/player/1973/ripablo?timespan=all,0.97,0.861
rezq,G2 Gozen,1.035,229.226,1.106,147.662,0.709,0.8,0.221,0.175,0.166,2797.0,https://www.vlr.gg/player/36175/rezq?timespan=all,0.4,0.989
Joliinaa,GIANTX GC,1.233,235.964,1.28,151.645,0.776,0.828,0.408,0.092,0.061,4710.0,https://www.vlr.gg/player/26632/joliinaa?timespan=all,0.3,1.0
Miyori,HEROIC Valkyries,1.065,233.048,1.118,151.462,0.709,0.811,0.194,0.161,0.149,4733.0,https://www.vlr.gg/player/24101/miyori?timespan=all,0.3,1.0
Jovi,TALON,1.022,195.751,1.031,129.123,0.711,0.681,0.316,0.067,0.09,459.0,https://www.vlr.gg/player/6570/jovi?timespan=all,0.82,0.82
romily,KRÜ BLAZE,1.188,230.55,1.369,150.024,0.766,0.826,0.233,0.123,0.087,4196.0,https://www.vlr.gg/player/18982/romily?timespan=all,0.3,1.0
Biscoit1n,MIBR GC,0.973,213.695,0.994,130.539,0.66,0.74,0.208,0.163,0.159,3061.0,https://www.vlr.gg/player/3387/biscoit1n?timespan=all,0.85,0.85
Aeric,Aspyre x Swarm,1.098,207.484,1.051,139.542,0.738,0.707,0.34,0.084,0.075,7891.0,https://www.vlr.gg/player/6576/aeric?timespan=all,0.85,0.85
Wave,Erinite Esports,0.903,177.608,0.824,120.982,0.668,0.609,0.363,0.062,0.093,2061.0,https://www.vlr.gg/player/27991/wave?timespan=all,0.603,0.965
Xander,Erinite Esports,1.01,204.521,1.01,131.169,0.71,0.73,0.321,0.082,0.09,3557.0,https://www.vlr.gg/player/39535/xander?timespan=all,0.745,0.948
Yukine,Erinite Esports,1.103,194.086,1.077,129.929,0.739,0.679,0.337,0.042,0.032,4303.0,https://www.vlr.gg/player/18728/yukine?timespan=all,0.603,0.965
Jar,Erinite Esports,0.996,200.646,0.996,134.812,0.673,0.706,0.217,0.094,0.101,3204.0,https://www.vlr.gg/player/41966/jar?timespan=all,0.77,0.944
flasHH,Erinite Esports,1.109,241.431,1.126,159.724,0.697,0.831,0.2,0.181,0.161,3072.0,https://www.vlr.gg/player/29613/flashh?timespan=all,0.777,0.944
flyuh,KOI,1.003,192.497,0.99,125.695,0.733,0.668,0.378,0.072,0.088,12736.0,https://www.vlr.gg/player/3685/flyuh?timespan=all,0.952,0.962
grubinho,KOI,1.076,203.459,1.088,131.04,0.729,0.716,0.327,0.083,0.082,9712.0,https://www.vlr.gg/player/5550/grubinho?timespan=all,0.966,0.97
sheydos,KOI,1.181,228.003,1.341,146.813,0.755,0.822,0.24,0.097,0.061,7487.0,https://www.vlr.gg/player/1428/sheydos?timespan=all,0.983,0.996
Filu,KOI,1.127,240.638,1.192,153.036,0.716,0.849,0.215,0.179,0.143,6363.0,https://www.vlr.gg/player/4544/filu?timespan=all,0.969,0.885
soulcas,KOI,1.05,204.95,1.095,134.133,0.738,0.714,0.316,0.085,0.09,9718.0,https://www.vlr.gg/player/101/soulcas?timespan=all,0.995,0.982
Noizeeh,KOI,0.855,167.286,0.801,116.045,0.664,0.525,0.238,0.072,0.099,42.0,https://www.vlr.gg/player/231/noizeeh?timespan=all,0.82,0.82
iNaz,DRAGONS,0.893,177.686,0.869,121.612,0.643,0.632,0.205,0.09,0.095,1520.0,https://www.vlr.gg/player/44546/inaz?timespan=all,0.955,0.813
AL7B,DRAGONS,1.032,203.131,0.99,133.28,0.705,0.718,0.331,0.09,0.081,2748.0,https://www.vlr.gg/player/36073/al7b?timespan=all,0.955,0.815
k1Ng,DRAGONS,1.1,223.561,1.122,147.867,0.729,0.778,0.293,0.102,0.091,7091.0,https://www.vlr.gg/player/17648/k1ng?timespan=all,0.962,0.832
Rayy,DRAGONS,0.92,182.129,0.858,123.067,0.689,0.63,0.319,0.061,0.072,3338.0,https://www.vlr.gg/player/27313/rayy?timespan=all,0.955,0.814
