Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m,opponents
VictiM,RIVAL,1.13,211.0,1.21,135.3,0.7,0.74,0.26,0.04,0.04,23.0,https://www.vlr.gg/player/43426/victim?timespan=90d,0.65,0.65,
Nightmare,TUMT Orcinus,1.196,220.679,1.771,141.022,0.747,0.801,0.395,0.109,0.043,190.0,https://www.vlr.gg/player/42921/nightmare?timespan=90d,0.65,0.65,
明日花,TWA,1.091,203.03,1.213,133.163,0.766,0.748,0.221,0.121,0.079,99.0,https://www.vlr.gg/player/49930/?timespan=90d,0.65,0.65,
Liovin,Team Cece,0.57,157.0,0.41,118.7,0.63,0.37,0.21,0.05,0.16,19.0,https://www.vlr.gg/player/50049/liovin?timespan=90d,0.65,0.65,
ray,Team Cece,1.28,320.0,1.4,202.8,0.68,1.11,0.05,0.26,0.16,19.0,https://www.vlr.gg/player/50051/ray?timespan=90d,0.88,0.9,
phonics,Stellae Gaming,0.41,108.0,0.33,75.8,0.45,0.3,0.35,0.0,0.0,20.0,https://www.vlr.gg/player/2210/phonics?timespan=90d,0.65,0.65,
may,Elation Vortex,1.006,266.364,1.069,177.218,0.756,0.942,0.213,0.306,0.033,33.0,https://www.vlr.gg/player/47555/may?timespan=90d,0.5,1.0,
Dylan,APAY Academy,0.961,228.292,1.006,147.938,0.653,0.78,0.181,0.19,0.214,440.0,https://www.vlr.gg/player/49533/dylan?timespan=10d,0.65,0.65,
vapen,Moist x Shopify,0.34,122.0,0.27,90.1,0.4,0.27,0.27,0.07,0.13,15.0,https://www.vlr.gg/player/8754/vapen?timespan=90d,0.0,0.0,
kuro5,esports team αD,0.76,169.0,0.69,105.8,0.63,0.58,0.32,0.11,0.05,19.0,https://www.vlr.gg/player/48496/kuro5?timespan=90d,0.65,0.65,
foxy,Fancy United Esports,0.911,164.053,0.834,108.43,0.719,0.589,0.493,0.038,0.07,236.0,https://www.vlr.gg/player/48876/foxy?timespan=90d,0.65,0.65,
tok1o,Fancy United Esports,0.832,153.424,0.76,97.802,0.703,0.545,0.392,0.091,0.104,297.0,https://www.vlr.gg/player/48573/tok1o?timespan=90d,0.65,0.65,
Garv,Reckoning Esports,0.817,153.057,0.82,105.505,0.641,0.608,0.161,0.019,0.134,61.0,https://www.vlr.gg/player/43408/garv?timespan=90d,0.65,0.65,
Bubbles,Unjustified,0.967,194.453,0.961,132.087,0.711,0.689,0.244,0.087,0.074,942.0,https://www.vlr.gg/player/26229/bubbles?timespan=90d,0.65,0.65,
Corsa,Solana,0.999,207.796,1.001,136.859,0.727,0.717,0.268,0.106,0.106,670.0,https://www.vlr.gg/player/45836/corsa?timespan=90d,0.65,0.65,
colby,Wadadaa,1.122,218.226,1.187,141.837,0.729,0.786,0.326,0.087,0.082,231.0,https://www.vlr.gg/player/44607/colby?timespan=90d,0.65,0.65,
wezzy,Digital Athletics,0.821,205.636,0.759,136.288,0.575,0.669,0.094,0.242,0.216,33.0,https://www.vlr.gg/player/39351/wezzy?timespan=90d,0.92,0.865,
AlMtRoOo3,Onyx Ravens,0.72,160.0,0.56,113.1,0.74,0.47,0.58,0.16,0.05,19.0,https://www.vlr.gg/player/37789/almtrooo3?timespan=90d,0.818,0.821,
panday,oomfies,0.882,171.27,0.834,109.33,0.646,0.619,0.118,0.098,0.085,74.0,https://www.vlr.gg/player/26032/panday?timespan=90d,0.522,0.994,
SUPERKAT,oomfies,0.928,191.081,0.873,133.627,0.664,0.636,0.177,0.124,0.204,74.0,https://www.vlr.gg/player/28549/superkat?timespan=90d,0.518,0.987,
habibti,mesos millionaires,1.031,232.023,0.999,148.337,0.655,0.793,0.416,0.026,0.141,43.0,https://www.vlr.gg/player/28547/habibti?timespan=90d,0.5,1.0,
hAwksinho,Coalesce,0.926,196.268,0.888,121.815,0.719,0.67,0.469,0.077,0.077,142.0,https://www.vlr.gg/player/40697/hawksinho?timespan=90d,0.65,0.65,
rYn,UCAM Esports Club,0.814,162.462,0.711,105.782,0.565,0.566,0.357,0.026,0.182,39.0,https://www.vlr.gg/player/18192/ryn?timespan=90d,0.927,0.883,
MerSa,Digital Athletics,0.703,127.071,0.566,88.114,0.701,0.394,0.481,0.057,0.086,91.0,https://www.vlr.gg/player/4892/mersa?timespan=90d,0.93,0.925,
RJM,SSalama,0.988,203.125,0.98,143.025,0.625,0.675,0.2,0.175,0.148,80.0,https://www.vlr.gg/player/48243/rjm?timespan=90d,0.65,0.65,
Tykki,SSalama,1.09,202.75,1.09,137.675,0.765,0.71,0.337,0.1,0.048,80.0,https://www.vlr.gg/player/48244/tykki?timespan=90d,0.65,0.65,
Bard0lf,PULSE,0.959,167.7,0.874,113.848,0.731,0.623,0.321,0.035,0.02,85.0,https://www.vlr.gg/player/12673/bard0lf?timespan=90d,0.932,0.922,
E13,Chivas Esports,0.853,167.174,0.802,116.558,0.716,0.568,0.367,0.058,0.063,210.0,https://www.vlr.gg/player/48551/e13?timespan=90d,0.65,0.65,
TWEEZY,wombat123,0.754,130.144,0.666,85.555,0.665,0.473,0.288,0.044,0.057,142.0,https://www.vlr.gg/player/50287/tweezy?timespan=90d,0.65,0.65,
Dheny,wombat123,0.982,207.675,0.92,131.29,0.738,0.69,0.338,0.033,0.08,142.0,https://www.vlr.gg/player/46517/dheny?timespan=90d,0.65,0.65,
narky poo,wombat123,1.138,229.906,1.1,149.762,0.741,0.831,0.165,0.139,0.166,142.0,https://www.vlr.gg/player/50288/narky-poo?timespan=90d,0.65,0.65,
DaGG3r,Lost Puppies,1.115,197.225,1.18,135.715,0.756,0.703,0.355,0.062,0.072,264.0,https://www.vlr.gg/player/29553/dagg3r?timespan=90d,0.65,0.65,
Unfair,FOKUS,0.93,182.0,0.97,123.6,0.62,0.67,0.12,0.12,0.14,42.0,https://www.vlr.gg/player/23237/unfair?timespan=90d,0.92,0.856,
Kuba,FOKUS,1.066,204.905,1.111,139.114,0.716,0.74,0.334,0.071,0.071,42.0,https://www.vlr.gg/player/2052/kuba?timespan=90d,0.938,0.888,
Patrui,S2G Esports,0.96,176.2,1.0,122.0,0.71,0.64,0.14,0.08,0.06,96.0,https://www.vlr.gg/player/11531/patrui?timespan=90d,0.92,0.915,
restro,Purpose Gaming,1.042,228.185,1.108,145.257,0.682,0.807,0.136,0.138,0.124,138.0,https://www.vlr.gg/player/33693/restro?timespan=90d,0.65,0.65,
apu,Retiraos,1.018,240.406,1.12,160.654,0.702,0.819,0.248,0.153,0.14,101.0,https://www.vlr.gg/player/50450/apu?timespan=90d,0.5,0.85,
Shion7,Dragon Ranger Gaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/41774/shion7?timespan=90d,1.0,0.973,
vinizin,Agropesca Jacare,0.841,196.095,0.875,138.2,0.679,0.688,0.169,0.129,0.137,126.0,https://www.vlr.gg/player/25629/vinizin?timespan=90d,0.896,0.9,
MARCTYLINHO,DVM Esport,1.16,185.0,1.16,120.0,0.72,0.67,0.39,0.05,0.04,98.0,https://www.vlr.gg/player/3579/marctylinho?timespan=90d,0.933,0.904,
YuRelly,esports team αD,0.733,153.456,0.695,97.019,0.662,0.526,0.282,0.055,0.105,158.0,https://www.vlr.gg/player/12930/yurelly?timespan=90d,0.871,0.836,
bao,Trust In Plug,1.062,207.755,1.108,134.161,0.735,0.743,0.315,0.078,0.075,1133.0,https://www.vlr.gg/player/41877/bao?timespan=90d,0.823,0.874,
sHOW,BITEKI,0.927,183.78,0.87,123.051,0.635,0.634,0.221,0.027,0.048,41.0,https://www.vlr.gg/player/36714/show?timespan=90d,0.92,0.76,
KUNDIKUNDI,MOUZ,0.842,175.765,0.834,105.041,0.683,0.572,0.377,0.058,0.137,66.0,https://www.vlr.gg/player/1363/kundikundi?timespan=90d,0.94,0.884,
Slandy,mesos millionaires,1.093,227.815,1.087,147.13,0.763,0.731,0.373,0.06,0.1,81.0,https://www.vlr.gg/player/14722/slandy?timespan=90d,0.517,0.989,
iNaz,DRAGONS,0.865,149.951,1.004,100.551,0.59,0.575,0.179,0.067,0.084,61.0,https://www.vlr.gg/player/44546/inaz?timespan=90d,0.863,0.815,
NemuiZzZz,Dreams To Legends,0.829,156.488,0.754,102.919,0.602,0.558,0.345,0.095,0.12,43.0,https://www.vlr.gg/player/48961/nemuizzzz?timespan=90d,0.65,0.65,
Flowy,Al-Qadsiah Esports,0.984,193.438,0.933,127.618,0.724,0.648,0.505,0.064,0.072,213.0,https://www.vlr.gg/player/36069/flowy?timespan=90d,0.799,0.821,
Forcee,OXEN,0.99,153.583,0.983,103.822,0.788,0.543,0.48,0.036,0.026,108.0,https://www.vlr.gg/player/15547/forcee?timespan=90d,0.92,0.85,
Spitfires,All Gamers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/4881/spitfires?timespan=90d,0.906,0.94,
X3B,All Gamers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/37019/x3b?timespan=90d,1.0,0.97,
