,Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played
0,FacePalm,SZK Esports,1.0877727272727273,226.5590909090909,1.1754090909090908,144.71863636363636,0.667409090909091,0.8070454545454544,0.12772727272727272,0.1995,0.17059090909090907,220.0
1,APEX,SZK Esports,0.8744117647058823,187.7691176470588,0.8758823529411763,127.96323529411764,0.7189705882352941,0.6320588235294118,0.4326470588235294,0.06647058823529411,0.08308823529411763,136.0
2,Skygi,Melilla Titans,1.21296875,224.8203125,1.3070312499999999,140.3765625,0.8025,0.79984375,0.413515625,0.10640625000000001,0.0640625,128.0
3,v1c,Cloud9,1.0114051522248242,176.25995316159253,0.9653161592505854,114.2007025761124,0.7538173302107728,0.6185011709601873,0.48295081967213116,0.067096018735363,0.0519672131147541,427.0
4,Xeppaa,Cloud9,1.0561592505854802,209.94051522248247,1.0907728337236535,133.5440281030445,0.7660187353629978,0.7507494145199065,0.4554332552693208,0.0711241217798595,0.0894847775175644,427.0
5,Rossy,Cloud9,1.1092097264437693,202.1303951367781,1.1901215805471126,134.33768996960487,0.745227963525836,0.7508814589665653,0.2722188449848025,0.05936170212765958,0.05914893617021276,329.0
6,moose,Cloud9,0.887423887587822,149.06978922716627,0.894543325526932,97.55620608899298,0.6956206088992973,0.5495784543325527,0.22985948477751755,0.04264637002341921,0.0875175644028103,427.0
7,OXY,Cloud9,1.0631615925058548,255.4889929742389,1.1137939110070258,159.14332552693207,0.7144028103044496,0.8685480093676815,0.2,0.2427400468384075,0.20381733021077283,427.0
8,valyn,G2 Esports,1.0998780487804878,211.33243902439023,1.1613414634146342,137.97146341463414,0.7416829268292683,0.7529756097560975,0.3476829268292682,0.08463414634146342,0.11795121951219512,410.0
9,trent,G2 Esports,1.2327560975609757,227.12951219512198,1.2896585365853659,151.72024390243905,0.7466341463414634,0.8032439024390244,0.3416585365853659,0.09802439024390246,0.07914634146341465,410.0
