Player,Team,Player_Strength,Total_Rounds_Played
Monyet,Rex Regum Qeon,217.15,17.0
f0rsakeN,Paper Rex,146.31,333.0
Dep,ZETA DIVISION,137.65,74.0
Alfajer,FNATIC,135.65,142.0
Ethan,TUMT Shark,133.95,118.0
Seoldam,RIDDLE ORDER,128.82,249.0
Iceyyy,Unsigned5,126.74,40.0
Verno,NRG Esports,120.41,498.0
purp0,GIANTX,119.54,224.0
yetujey,FUT Esports,119.01,302.0
Flashback,DRX,118.49,532.0
Wo0t,Team Heretics,118.2,209.0
BuZz,T1,116.7,265.0
something,Paper Rex,115.97,657.0
xffero,Rex Regum Qeon,115.54,38.0
OXY,Cloud9,115.04,502.0
trent,G2 Esports,114.75,452.0
RobbieBk,Gentle Mates,114.65,47.0
Caedye,RIDDLE ORDER,113.89,249.0
Munchkin,Gen.G,112.39,587.0
FengF,Trace Esports,112.26,498.0
AvovA,Apeks,111.59,81.0
AtaKaptan,FUT Esports,111.47,152.0
Elite,Karmine Corp,111.29,80.0
sheydos,KOI,111.29,42.0
crazyguy,Disguised,111.07,547.0
leaf,G2 Esports,110.5,413.0
stax,T1,110.4,265.0
Jinggg,Paper Rex,110.36,445.0
zekken,Sentinels,109.94,404.0
s0m,NRG Esports,109.01,498.0
xeus,FUT Esports,108.51,302.0
MrFaliN,FUT Esports,108.38,302.0
bang,Sentinels,108.17,404.0
nephh,Bilibili Gaming,107.97,482.0
Demon1,LEVIATÁN,107.7,131.0
satellite,Ambrosia,107.18,1681.0
Sylvan,T1,106.92,265.0
Jemkin,Rex Regum Qeon,106.59,21.0
Life,FunPlus Phoenix,106.52,348.0
Ethan,NRG Esports,106.36,498.0
Karon,Gen.G,106.04,634.0
Dragon,JiJieHao,106.0,612.0
Crws,TALON,105.97,253.0
gobera,2Game Esports,105.38,181.0
tricky,Level 5,104.07,178.0
Minimise,JiJieHao,104.02,612.0
KEN,CREST GAMING Zst,103.85,207.0
LEW,JiJieHao,103.4,612.0
t3xture,Gen.G,103.16,634.0
SpYzera,The Ultimates,103.13,249.0
Chronicle,FNATIC,102.93,142.0
iZu,T1,102.93,265.0
SugarZ3ro,ZETA DIVISION,102.03,52.0
Moh,The Ultimates,101.54,249.0
N4RRATE,Sentinels,101.38,404.0
Reduxx,Cubert Academy,101.19,106.0
seven,TSM,101.12,648.0
dgzin,LOUD,100.67,177.0
SUYGETSU,Karmine Corp,100.44,80.0
mada,NRG Esports,100.29,498.0
primmie,TALON,100.27,253.0
supamen,Evil Geniuses,99.8,227.0
valyn,G2 Esports,99.72,279.0
mikeE,Trust In Plug,99.65,403.0
Winteryrook,Al-Qadsiah Esports,99.56,66.0
Spaz,Moist x Shopify,99.41,230.0
jakee,YFP Gaming,98.92,1023.0
PatMen,ZOL Esports,98.71,468.0
spike,2Game Esports,98.29,203.0
yoman,Gen.G,97.49,634.0
Deryeon,Disguised,97.34,658.0
dos9,BOOM Esports,97.11,185.0
sakurai,CREST GAMING Zst,96.97,207.0
gMd,TSM,96.86,550.0
qRaxs,FUT Esports,96.84,302.0
Xeppaa,Cloud9,96.18,329.0
tixx,JiJieHao,95.96,574.0
Riza,Unsigned5,95.48,396.0
thief,YFP Gaming,95.43,752.0
whzy,Bilibili Gaming,95.42,497.0
Meiy,DetonatioN FocusMe,95.23,376.0
Jinboong,DetonatioN FocusMe,94.96,226.0
Athan,DRX,94.9,532.0
penny,YFP Gaming,94.86,752.0
AAAAY,FunPlus Phoenix,94.62,200.0
runneR,GIANTX,94.43,224.0
MOLSI,Apeks,94.41,81.0
MaKo,DRX,93.95,474.0
Zellsis,Sentinels,93.8,404.0
johnqt,Sentinels,93.73,404.0
Paincakes,Moist x Shopify,93.65,189.0
