Player,Team,Player_Strength,Total_Rounds_Played
GoodSon,把牛變成鱒魚,165.55,32.0
GiPsy7,Unknown Killers E-sport,129.76,96.0
ray,Team Cece,123.81,19.0
Saluat,TUMT Shark,116.88,165.0
JwN,Team yanxinng,114.36,42.0
BODYCATCHER,ROUNDS,112.64,157.0
florescent,Apeks,108.41,11160.0
srN,MIBR GC,108.18,3115.0
Pony,LANDODGERS,107.95,111.0
miniTahara,QUANTICO,107.46,98.0
GARY,ATF Electric,107.44,36.0
Rey,Team Cece,106.28,19.0
HanJi,OCU,105.35,48.0
KAKUJA,Lucia Rankers,104.86,168.0
Hasagiii,Blue Eyes White Dragon,104.76,124.0
chapix,Lilmix,104.21,513.0
enerii,Team Falcons Vega,103.93,5232.0
Symphony,FINIX ALPHA,103.47,128.0
DRSMURFFI,Elite Klan,103.21,30.0
splash,RRQ Academy,101.55,1836.0
MINJU,ZFE,101.42,35.0
Sayonara,DVM Esport,101.29,1105.0
Kohaibi,Paper Rex x Spotlight Series,100.33,5096.0
Sayonara,Daguestan,100.26,81.0
conir,KRÜ BLAZE,100.18,3702.0
bluexuan,Jester Circus,98.56,39.0
XiaoYu,Evil Samurai,98.3,248.0
Alexy,Team Falcons Vega,97.45,4884.0
17leanndro,Eternal Flame,97.06,248.0
whzy,Bilibili Gaming,96.79,7985.0
dodonut,Shopify Rebellion Gold,96.78,12202.0
bstrdd,Team Liquid Brazil,96.44,9549.0
dods,KRÜ BLAZE,96.37,2958.0
edith,mesos millionaires,96.12,4669.0
glacier,姊姊壞了我好愛,95.09,56.0
patrickWHO,Global Esports,94.94,1061.0
xeus,FUT Esports,94.34,4053.0
aspas,MIBR,94.05,7550.0
WIRE,Elation Vortex,93.99,1524.0
Persyk,KAMK.GG,93.61,37.0
rotini,PETZ,93.5,121.0
ZmjjKK,EDward Gaming,93.46,10159.0
T1ankong,VNU Esports,93.36,173.0
RJM,SSalama,93.36,322.0
Vania,G2 Gozen,93.35,5423.0
PangXinXin,INHS Yining,93.02,71.0
sociablEE,BBL Esports,93.02,9287.0
Mary,Team Falcons Vega,93.02,3813.0
Kyu,M80,92.91,6857.0
StarBound,Wadadaa,92.87,7625.0
purp0,GIANTX,92.81,6434.0
hibar,SSalama,92.79,362.0
Ninebody,TYLOO,92.75,6941.0
Jemkin,Rex Regum Qeon,92.74,4006.0
bucute,Team Flash,92.63,1096.0
Joliinaa,SK Nebula,92.63,4710.0
elllement,CGN Esports,92.03,8103.0
KADIRI,Next Gen,92.0,2249.0
sibeastw0w,GMBLERS Esports,91.93,7781.0
uuuuuuuuuuuuuuuu,GOOD BOY,91.91,32.0
Famouz,BOOM Esports,91.87,8058.0
desire,KPI Gaming,91.85,419.0
Nastiness,GOOD BOY,91.78,291.0
trexx,Team Vitality,91.77,6709.0
Aimlab132K,FOP,91.71,77.0
zekken,Sentinels,91.71,12327.0
Muddy,YDZ Esports,91.68,3859.0
KhenZy,Stacked Like Pancakes,91.63,846.0
terror,Endear Esports,91.59,3248.0
kaho,SFU Pink,91.59,3245.0
eluwu,Purr-fectionists,91.58,2158.0
something,Paper Rex,91.44,5848.0
Proxh,Eintracht Frankfurt,91.19,956.0
DEATHMAKER,Revenant XSpark,91.15,11724.0
Melancholy,LANDODGERS,91.1,111.0
Dknock,Seulgi Fanclub,91.07,206.0
Azami,nobody in Paris,91.04,709.0
koalanoob,Natus Vincere,91.01,12742.0
Pa1nt,Shopify Rebellion Black,90.84,12928.0
Sato,Galorys,90.77,5145.0
Reduxx,Cubert Academy,90.73,15750.0
ara,Bitfix Gaming,90.61,4438.0
Muffyn,Ambitious Legend Gaming GC,90.59,5467.0
Click,Gentle Mates,90.57,3751.0
Murphy,S2 Esports,90.5,384.0
Extreme,GMBLERS Esports,90.47,2020.0
rawfiul,Revenant XSpark,90.4,12154.0
vita,Overtake,90.35,4090.0
Mattvictus,FINIX ALPHA,90.34,144.0
Bizerra,Team Liquid Brazil,90.34,7478.0
Toki,Team Falcons Vega,90.31,5948.0
cNed,FUT Esports,90.27,10159.0
stew,JDG Esports,90.2,4069.0
Jelly,MIBR GC,90.16,6206.0
mwzera,FURIA,89.98,6980.0
Timotino,QoR,89.93,6643.0
Spring,Wolves Esports,89.93,6575.0
madv,Team Falcons Vega,89.87,5463.0
NOVAE,Rub n' Pug,89.84,1415.0
keznit,KRÜ Esports,89.81,6334.0
N1welS,Retiraos,89.72,439.0
decoy,IHC Esports,89.64,762.0
Derke,Team Vitality,89.58,8925.0
tconda,Zen eSports GC,89.52,1757.0
goked,Gentle Mates,89.52,1616.0
endoist,Z11,89.5,1076.0
awe,Usepticals,89.43,182.0
ness,GIANTX GC,89.38,7458.0
LEW,JiJieHao,89.37,6832.0
C4pee,HAVU Gaming,89.32,465.0
Fair,Team Digital,89.31,5333.0
KILLY,Six Karma,89.26,101.0
Mesmer,Eternal Flame,89.14,248.0
Yusin,Ambitious Legend Gaming GC,89.13,1794.0
Leo,FNATIC,89.11,8061.0
HYUNMIN,DRX,89.09,1506.0
may,Elation Vortex,89.08,233.0
gobera,2Game Esports,89.03,6695.0
canezera,RANKERS,88.73,7048.0
Neon,LEVIATÁN Academy,88.71,1805.0
kaajak,FNATIC,88.62,6200.0
siiri,SKIPIDI,88.62,103.0
ComeBack,BBL PCIFIC,88.62,2705.0
KovaQ,ALTERNATE aTTaX,88.59,5577.0
marteen,Karmine Corp,88.53,5190.0
ShoT_UP,Landor,88.52,14915.0
azys,Revenant XSpark,88.49,8391.0
N4RRATE,Sentinels,88.43,2626.0
Demon1,LEVIATÁN,88.37,6053.0
Core,Culturized,88.37,10009.0
