name,team,url,url_90d,region_m,tier_m
kodeth,NXT,https://www.vlr.gg/player/39060/kodeth?timespan=all,https://www.vlr.gg/player/39060/kodeth?timespan=all/?timespan=90d,0.794,0.92
Snaptor,NXT,https://www.vlr.gg/player/32345/snaptor?timespan=all,https://www.vlr.gg/player/32345/snaptor?timespan=all/?timespan=90d,0.719,0.92
EnglishAzza,NXT,https://www.vlr.gg/player/47981/englishazza?timespan=all,https://www.vlr.gg/player/47981/englishazza?timespan=all/?timespan=90d,0.65,0.65
Tommy,Paper Rex,https://www.vlr.gg/player/9799/tommy?timespan=all,https://www.vlr.gg/player/9799/tommy?timespan=all/?timespan=90d,0.825,0.92
alecks,Paper Rex,https://www.vlr.gg/player/9804/alecks?timespan=all,https://www.vlr.gg/player/9804/alecks?timespan=all/?timespan=90d,0.65,0.65
Listi,Paper Rex,https://www.vlr.gg/player/46761/listi?timespan=all,https://www.vlr.gg/player/46761/listi?timespan=all/?timespan=90d,0.65,0.65
guiih9,Grêmio Esports,https://www.vlr.gg/player/1673/guiih9?timespan=all,https://www.vlr.gg/player/1673/guiih9?timespan=all/?timespan=90d,0.905,0.888
Juan,Grêmio Esports,https://www.vlr.gg/player/40741/juan?timespan=all,https://www.vlr.gg/player/40741/juan?timespan=all/?timespan=90d,0.65,0.65
depppx,Grêmio Esports,https://www.vlr.gg/player/14933/depppx?timespan=all,https://www.vlr.gg/player/14933/depppx?timespan=all/?timespan=90d,0.907,0.851
LB,Grêmio Esports,https://www.vlr.gg/player/49553/lb?timespan=all,https://www.vlr.gg/player/49553/lb?timespan=all/?timespan=90d,0.65,0.65
Unfair,FOKUS,https://www.vlr.gg/player/23237/unfair?timespan=all,https://www.vlr.gg/player/23237/unfair?timespan=all/?timespan=90d,0.856,0.92
Kuba,FOKUS,https://www.vlr.gg/player/2052/kuba?timespan=all,https://www.vlr.gg/player/2052/kuba?timespan=all/?timespan=90d,0.888,0.938
realeggoo,FOKUS,https://www.vlr.gg/player/46193/realeggoo?timespan=all,https://www.vlr.gg/player/46193/realeggoo?timespan=all/?timespan=90d,0.65,0.65
Awaké,Zerance,https://www.vlr.gg/player/31196/awak?timespan=all,https://www.vlr.gg/player/31196/awak?timespan=all/?timespan=90d,0.65,0.65
FirstLove,Himothys,https://www.vlr.gg/player/7447/firstlove?timespan=all,https://www.vlr.gg/player/7447/firstlove?timespan=all/?timespan=90d,0.922,0.971
rinsat,Asterisk,https://www.vlr.gg/player/49570/rinsat?timespan=all,https://www.vlr.gg/player/49570/rinsat?timespan=all/?timespan=90d,0.65,0.65
Preature,Asterisk,https://www.vlr.gg/player/43875/preature?timespan=all,https://www.vlr.gg/player/43875/preature?timespan=all/?timespan=90d,0.65,0.65
Blu,Asterisk,https://www.vlr.gg/player/25616/sieh?timespan=all,https://www.vlr.gg/player/25616/sieh?timespan=all/?timespan=90d,0.65,0.65
meRadheya,Asterisk,https://www.vlr.gg/player/14659/blu?timespan=all,https://www.vlr.gg/player/14659/blu?timespan=all/?timespan=90d,0.65,0.65
Colt,F5 Esports,https://www.vlr.gg/player/29073/colt?timespan=all,https://www.vlr.gg/player/29073/colt?timespan=all/?timespan=90d,0.863,0.835
Buh Lah Kae,F5 Esports,https://www.vlr.gg/player/29075/buh-lah-kae?timespan=all,https://www.vlr.gg/player/29075/buh-lah-kae?timespan=all/?timespan=90d,0.875,0.85
DAN,Nottingham Miedo,https://www.vlr.gg/player/15917/dan?timespan=all,https://www.vlr.gg/player/15917/dan?timespan=all/?timespan=90d,0.65,0.65
Puleule,Nottingham Miedo,https://www.vlr.gg/player/726/puleule?timespan=all,https://www.vlr.gg/player/726/puleule?timespan=all/?timespan=90d,0.942,0.975
rismA,TOS,https://www.vlr.gg/player/49046/risma?timespan=all,https://www.vlr.gg/player/49046/risma?timespan=all/?timespan=90d,0.65,0.65
Meta,special grade,https://www.vlr.gg/player/31667/meta?timespan=all,https://www.vlr.gg/player/31667/meta?timespan=all/?timespan=90d,0.65,0.65
Seth,Excel EKKO,https://www.vlr.gg/player/50829/seth?timespan=all,https://www.vlr.gg/player/50829/seth?timespan=all/?timespan=90d,0.65,0.65
lassic,CINTANEGRA Esports,https://www.vlr.gg/player/35569/lassic?timespan=all,https://www.vlr.gg/player/35569/lassic?timespan=all/?timespan=90d,0.65,0.65
HellFull,CINTANEGRA Esports,https://www.vlr.gg/player/2499/hellfull?timespan=all,https://www.vlr.gg/player/2499/hellfull?timespan=all/?timespan=90d,0.872,0.933
Makaveli,Orangutan,https://www.vlr.gg/player/30693/makaveli?timespan=all,https://www.vlr.gg/player/30693/makaveli?timespan=all/?timespan=90d,0.65,0.65
Venka,Orangutan,https://www.vlr.gg/player/27336/venka?timespan=all,https://www.vlr.gg/player/27336/venka?timespan=all/?timespan=90d,0.907,0.96
deecee,Orangutan,https://www.vlr.gg/player/26376/deecee?timespan=all,https://www.vlr.gg/player/26376/deecee?timespan=all/?timespan=90d,0.907,0.96
Hoax,Orangutan,https://www.vlr.gg/player/3639/hoax?timespan=all,https://www.vlr.gg/player/3639/hoax?timespan=all/?timespan=90d,0.963,0.987
hacker,Orangutan,https://www.vlr.gg/player/22613/hacker?timespan=all,https://www.vlr.gg/player/22613/hacker?timespan=all/?timespan=90d,0.65,0.65
Persyk,KAMK.GG,https://www.vlr.gg/player/48326/persyk?timespan=all,https://www.vlr.gg/player/48326/persyk?timespan=all/?timespan=90d,0.65,0.65
Kjja,KAMK.GG,https://www.vlr.gg/player/18321/kjja?timespan=all,https://www.vlr.gg/player/18321/kjja?timespan=all/?timespan=90d,0.65,0.65
Lightningfast,Level 5,https://www.vlr.gg/player/3626/lightningfast?timespan=all,https://www.vlr.gg/player/3626/lightningfast?timespan=all/?timespan=90d,0.945,0.973
Russ,Level 5,https://www.vlr.gg/player/1162/russ?timespan=all,https://www.vlr.gg/player/1162/russ?timespan=all/?timespan=90d,0.944,0.973
Ry,NRG Esports,https://www.vlr.gg/player/47029/ry?timespan=all,https://www.vlr.gg/player/47029/ry?timespan=all/?timespan=90d,0.65,0.65
Jordan,Xzile Esports,https://www.vlr.gg/player/41664/jordan?timespan=all,https://www.vlr.gg/player/41664/jordan?timespan=all/?timespan=90d,0.9,0.88
Neptune,Xzile Esports,https://www.vlr.gg/player/44063/neptune?timespan=all,https://www.vlr.gg/player/44063/neptune?timespan=all/?timespan=90d,0.9,0.88
BangtK,Prestige Esports,https://www.vlr.gg/player/38750/bangtk?timespan=all,https://www.vlr.gg/player/38750/bangtk?timespan=all/?timespan=90d,0.87,0.802
dox,Prestige Esports,https://www.vlr.gg/player/28078/dox?timespan=all,https://www.vlr.gg/player/28078/dox?timespan=all/?timespan=90d,0.863,0.75
PHO,FunPlus Phoenix,https://www.vlr.gg/player/3532/nathand?timespan=all,https://www.vlr.gg/player/3532/nathand?timespan=all/?timespan=90d,0.946,0.958
FATZHAI,INHS Yining,https://www.vlr.gg/player/50024/fatzhai?timespan=all,https://www.vlr.gg/player/50024/fatzhai?timespan=all/?timespan=90d,0.65,0.65
B3ar,Bilibili Gaming,https://www.vlr.gg/player/25329/b3ar?timespan=all,https://www.vlr.gg/player/25329/b3ar?timespan=all/?timespan=90d,0.97,1.0
Robot,Bilibili Gaming,https://www.vlr.gg/player/39530/robot?timespan=all,https://www.vlr.gg/player/39530/robot?timespan=all/?timespan=90d,0.65,0.65
Jexen,Bilibili Gaming,https://www.vlr.gg/player/980/bail?timespan=all,https://www.vlr.gg/player/980/bail?timespan=all/?timespan=90d,0.65,0.65
Frаctіonеd,WYLDE,https://www.vlr.gg/player/50814/fr-ct-on-d?timespan=all,https://www.vlr.gg/player/50814/fr-ct-on-d?timespan=all/?timespan=90d,0.863,0.835
Kawa,Fancy United Esports,https://www.vlr.gg/player/21914/kawa?timespan=all,https://www.vlr.gg/player/21914/kawa?timespan=all/?timespan=90d,0.985,1.0
OBONE,Nova Esports,https://www.vlr.gg/player/36670/obone?timespan=all,https://www.vlr.gg/player/36670/obone?timespan=all/?timespan=90d,0.951,0.993
Mulgan95,Team Vitality,https://www.vlr.gg/player/28277/mulgan95?timespan=all,https://www.vlr.gg/player/28277/mulgan95?timespan=all/?timespan=90d,0.65,0.65
marcus_askildsen,Team Vitality,https://www.vlr.gg/player/41776/faded?timespan=all,https://www.vlr.gg/player/41776/faded?timespan=all/?timespan=90d,0.65,0.65
maLek,Team Vitality,https://www.vlr.gg/player/20803/marcus-askildsen?timespan=all,https://www.vlr.gg/player/20803/marcus-askildsen?timespan=all/?timespan=90d,0.65,0.65
Antsy,Digital Athletics,https://www.vlr.gg/player/22716/antsy?timespan=all,https://www.vlr.gg/player/22716/antsy?timespan=all/?timespan=90d,0.902,0.92
Tio,Rebirth Esports,https://www.vlr.gg/player/1309/tio?timespan=all,https://www.vlr.gg/player/1309/tio?timespan=all/?timespan=90d,0.903,0.953
gr3eps,Rebirth Esports,https://www.vlr.gg/player/2908/gr3eps?timespan=all,https://www.vlr.gg/player/2908/gr3eps?timespan=all/?timespan=90d,0.864,0.929
Crxnk,BLVKHVND,https://www.vlr.gg/player/7167/crxnk?timespan=all,https://www.vlr.gg/player/7167/crxnk?timespan=all/?timespan=90d,0.9,0.92
reNny,TALON Academy,https://www.vlr.gg/player/25147/renny?timespan=all,https://www.vlr.gg/player/25147/renny?timespan=all/?timespan=90d,0.65,0.65
Reta,Team Falcons Vega,https://www.vlr.gg/player/28679/reta?timespan=all,https://www.vlr.gg/player/28679/reta?timespan=all/?timespan=90d,0.65,0.65
Noor,Team Falcons Vega,https://www.vlr.gg/player/28675/noor?timespan=all,https://www.vlr.gg/player/28675/noor?timespan=all/?timespan=90d,1.0,0.5
xsvri,Team Falcons Vega,https://www.vlr.gg/player/28673/xsvri?timespan=all,https://www.vlr.gg/player/28673/xsvri?timespan=all/?timespan=90d,0.65,0.65
F00lz,Team Falcons Vega,https://www.vlr.gg/player/5658/bababeast?timespan=all,https://www.vlr.gg/player/5658/bababeast?timespan=all/?timespan=90d,0.65,0.65
SoupBerries,QoR,https://www.vlr.gg/player/25331/soupberries?timespan=all,https://www.vlr.gg/player/25331/soupberries?timespan=all/?timespan=90d,0.65,0.65
glow,DRX,https://www.vlr.gg/player/775/termi?timespan=all,https://www.vlr.gg/player/775/termi?timespan=all/?timespan=90d,0.65,0.65
Argency,DRX,https://www.vlr.gg/player/770/glow?timespan=all,https://www.vlr.gg/player/770/glow?timespan=all/?timespan=90d,0.99,1.0
Jway,RED Canids,https://www.vlr.gg/player/41851/jway?timespan=all,https://www.vlr.gg/player/41851/jway?timespan=all/?timespan=90d,0.9,0.807
glym,RED Canids,https://www.vlr.gg/player/2006/glym?timespan=all,https://www.vlr.gg/player/2006/glym?timespan=all/?timespan=90d,0.91,0.851
Saalped,RED Canids,https://www.vlr.gg/player/41445/saalped?timespan=all,https://www.vlr.gg/player/41445/saalped?timespan=all/?timespan=90d,0.9,0.847
Whyphy,Alter Ego,https://www.vlr.gg/player/9772/whyphy?timespan=all,https://www.vlr.gg/player/9772/whyphy?timespan=all/?timespan=90d,0.65,0.65
watasink,Oblivion Force,https://www.vlr.gg/player/1346/watasink?timespan=all,https://www.vlr.gg/player/1346/watasink?timespan=all/?timespan=90d,0.908,0.973
Crook,YFP X,https://www.vlr.gg/player/35334/crook?timespan=all,https://www.vlr.gg/player/35334/crook?timespan=all/?timespan=90d,0.65,0.65
Cece,Team Cece,https://www.vlr.gg/player/46830/cece?timespan=all,https://www.vlr.gg/player/46830/cece?timespan=all/?timespan=90d,0.65,0.65
kaua,ZETA DIVISION Academy,https://www.vlr.gg/player/27592/kaua?timespan=all,https://www.vlr.gg/player/27592/kaua?timespan=all/?timespan=90d,0.84,0.92
Solluzy,ZETA DIVISION Academy,https://www.vlr.gg/player/34753/solluzy?timespan=all,https://www.vlr.gg/player/34753/solluzy?timespan=all/?timespan=90d,0.84,0.92
JUNiOR,ZETA DIVISION Academy,https://www.vlr.gg/player/1004/junior?timespan=all,https://www.vlr.gg/player/1004/junior?timespan=all/?timespan=90d,0.65,0.65
kreamer,ZETA DIVISION Academy,https://www.vlr.gg/player/705/kreamer?timespan=all,https://www.vlr.gg/player/705/kreamer?timespan=all/?timespan=90d,0.836,0.877
Jow,E-Xolos LAZER,https://www.vlr.gg/player/17690/jow?timespan=all,https://www.vlr.gg/player/17690/jow?timespan=all/?timespan=90d,0.85,0.92
Saintzlayer,E-Xolos LAZER,https://www.vlr.gg/player/23046/saintzlayer?timespan=all,https://www.vlr.gg/player/23046/saintzlayer?timespan=all/?timespan=90d,0.65,0.65
Fadeout,E-Xolos LAZER,https://www.vlr.gg/player/29380/fadeout?timespan=all,https://www.vlr.gg/player/29380/fadeout?timespan=all/?timespan=90d,0.65,0.65
Skeltzy,Unsigned5,https://www.vlr.gg/player/44768/skeltzy?timespan=all,https://www.vlr.gg/player/44768/skeltzy?timespan=all/?timespan=90d,0.65,0.65
Kehnys,Dexterity Gaming,https://www.vlr.gg/player/40445/kehnys?timespan=all,https://www.vlr.gg/player/40445/kehnys?timespan=all/?timespan=90d,0.9,0.835
Bello,Dexterity Gaming,https://www.vlr.gg/player/46254/bello?timespan=all,https://www.vlr.gg/player/46254/bello?timespan=all/?timespan=90d,0.65,0.65
vkzinn,PR0NETS,https://www.vlr.gg/player/8889/ryotzz?timespan=all,https://www.vlr.gg/player/8889/ryotzz?timespan=all/?timespan=90d,0.933,0.954
ViqZo,CICADAS Gaming,https://www.vlr.gg/player/14608/viqzo?timespan=all,https://www.vlr.gg/player/14608/viqzo?timespan=all/?timespan=90d,0.65,0.65
Warcloown,CICADAS Gaming,https://www.vlr.gg/player/3918/warcloown?timespan=all,https://www.vlr.gg/player/3918/warcloown?timespan=all/?timespan=90d,0.65,0.65
Tayz,West Virginia University,https://www.vlr.gg/player/4929/tayz?timespan=all,https://www.vlr.gg/player/4929/tayz?timespan=all/?timespan=90d,0.891,0.846
Uros,West Virginia University,https://www.vlr.gg/player/32008/uros?timespan=all,https://www.vlr.gg/player/32008/uros?timespan=all/?timespan=90d,0.9,0.88
ChurmZ,West Virginia University,https://www.vlr.gg/player/466/churmz?timespan=all,https://www.vlr.gg/player/466/churmz?timespan=all/?timespan=90d,0.918,0.881
Relife,Sengoku Gaming,https://www.vlr.gg/player/20402/meltdown?timespan=all,https://www.vlr.gg/player/20402/meltdown?timespan=all/?timespan=90d,0.65,0.65
Norisen,Sengoku Gaming,https://www.vlr.gg/player/20401/relife?timespan=all,https://www.vlr.gg/player/20401/relife?timespan=all/?timespan=90d,0.65,0.65
sogo,Nightblood Gaming,https://www.vlr.gg/player/6445/sogo?timespan=all,https://www.vlr.gg/player/6445/sogo?timespan=all/?timespan=90d,0.873,0.827
AlphaFly,Nightblood Gaming,https://www.vlr.gg/player/3004/alphafly?timespan=all,https://www.vlr.gg/player/3004/alphafly?timespan=all/?timespan=90d,0.857,0.793
6ixKey,RRQ Academy,https://www.vlr.gg/player/26826/6ixkey?timespan=all,https://www.vlr.gg/player/26826/6ixkey?timespan=all/?timespan=90d,0.792,0.92
skye,RRQ Academy,https://www.vlr.gg/player/7416/skye?timespan=all,https://www.vlr.gg/player/7416/skye?timespan=all/?timespan=90d,0.955,0.987
nokaze37,REJECT,https://www.vlr.gg/player/25138/egi?timespan=all,https://www.vlr.gg/player/25138/egi?timespan=all/?timespan=90d,0.65,0.65
lenka,Zerance Mint,https://www.vlr.gg/player/38036/lenka?timespan=all,https://www.vlr.gg/player/38036/lenka?timespan=all/?timespan=90d,1.0,0.5
mshz,Zerance Mint,https://www.vlr.gg/player/4601/mshz?timespan=all,https://www.vlr.gg/player/4601/mshz?timespan=all/?timespan=90d,0.879,0.92
Spin,DVM Esport,https://www.vlr.gg/player/4355/spin?timespan=all,https://www.vlr.gg/player/4355/spin?timespan=all/?timespan=90d,0.65,0.65
lyka,Shopify Rebellion Gold,https://www.vlr.gg/player/42184/lyka?timespan=all,https://www.vlr.gg/player/42184/lyka?timespan=all/?timespan=90d,0.65,0.65
