Player,"Player_ID","Player_Link","Player_Link_All"
FacePalm,14894,"https://www.vlr.gg/player/14894/facepalm/?timespan=90d","https://www.vlr.gg/player/14894/facepalm/?timespan=all"
APEX,2853,"https://www.vlr.gg/player/2853/apex/?timespan=90d","https://www.vlr.gg/player/2853/apex/?timespan=all" 
Skygi,8595, https://www.vlr.gg/player/8595/skygi/?timespan=90d,"https://www.vlr.gg/player/8595/skygi/?timespan=all"
Melser,1311,"https://www.vlr.gg/player/1311/melser/?timespan=90d","https://www.vlr.gg/player/1311/melser/?timespan=all"
keznit,2462,"https://www.vlr.gg/player/2462/keznit/?timespan=90d","https://www.vlr.gg/player/2462/keznit/?timespan=all"
mta,36169,"https://www.vlr.gg/player/36169/mta/?timespan=90d","https://www.vlr.gg/player/36169/mta/?timespan=all"
Shyy,24007,"https://www.vlr.gg/player/24007/shyy/?timespan=90d","https://www.vlr.gg/player/24007/shyy/?timespan=all"
heat,8673,"https://www.vlr.gg/player/8673/heat/?timespan=90d","https://www.vlr.gg/player/8673/heat/?timespan=all"
Klaus,2610,"https://www.vlr.gg/player/2610/klaus/?timespan=90d","https://www.vlr.gg/player/2610/klaus/?timespan=all"
v1c,17433,"https://www.vlr.gg/player/17433/v1c/?timespan=90d","https://www.vlr.gg/player/17433/v1c/?timespan=all"
Xeppaa,7871,"https://www.vlr.gg/player/7871/xeppaa/?timespan=90d","https://www.vlr.gg/player/7871/xeppaa/?timespan=all"
Rossy,1129,"https://www.vlr.gg/player/1129/rossy/?timespan=90d","https://www.vlr.gg/player/1129/rossy/?timespan=all"
moose,7458,"https://www.vlr.gg/player/7458/moose/?timespan=90d","https://www.vlr.gg/player/7458/moose/?timespan=all"
OXY,18796,"https://www.vlr.gg/player/18796/oxy/?timespan=90d","https://www.vlr.gg/player/18796/oxy/?timespan=all"
Immi,9815,"https://www.vlr.gg/player/9815/immi/?timespan=90d","https://www.vlr.gg/player/9815/immi/?timespan=all"
valyn,3885,"https://www.vlr.gg/player/3885/valyn/?timespan=90d","https://www.vlr.gg/player/3885/valyn/?timespan=all"
icy,8402,"https://www.vlr.gg/player/8402/icy/?timespan=90d","https://www.vlr.gg/player/8402/icy/?timespan=all"
trent,15500,"https://www.vlr.gg/player/15500/trent/?timespan=90d","https://www.vlr.gg/player/15500/trent/?timespan=all"
