team,id,region,tier",player_1,player_2,player_3,player_4,player_5,player_6
KRÃœ Esports,"2355","Americas","Tier 1","Melser","keznit","mta","Shyy","heat","Klaus"
Cloud9,"188","Americas","Tier 1","v1c","Xeppaa","Rossy","moose","OXY","Immi"
G2 Esports,"11058","Americas","Tier 1","valyn","icy","trent","JonahP","leaf","Seowulf"
Sentinels,"2","Americas","Tier 1","johnqt","N4RRATE","Zellsis","zekken","bang","curry"
NRG Esports,"1034","Americas","Tier 1","Ethan","Verno","mada","FiNESSE","s0m","Demon1"
LEVIATÃN,"2359","Americas","Tier 1","kiNgg","tex","Mazino","aspas","C0M","Daykiry"
100 Thieves,"120","Americas","Tier 1","Boostio","bang","Cryocells","eeiu","Asuna","Zikz"
LOUD,"6961","Americas","Tier 1","saadhak","Less","tuyz","cauanzin","pANcada","peu"
Evil Geniuses,"5248","Americas","Tier 1","NaturE","Derrek","supamen","yay","sym","potter"
FURIA,"2406","Americas","Tier 1","kon4n","mwzera","havoc","xand","nzr","Koy"
MIBR,"7386","Americas","Tier 1","mazin","artzin","Palla","rich","liazzi","chivitz"
Karmine Corp,"8877","EMEA","Tier 1","saadhak","Avez","Elite","marteen","SUYGETSU","ENGH"
FNATIC,"2593","EMEA","Tier 1","Boaster","Sayonara","kaajak","Chronicle","Alfajer","Leo"
Team Liquid,"474","EMEA","Tier 1","Enzo","Jamppi","nAts","Mistic","Keiko","Harmii"
BBL Esports,"397","EMEA","Tier 1","Elite","pAura","Brave","reazy","QutionerX","Reen"
Team Vitality,"2059","EMEA","Tier 1","ceNder","trexx","Kicks","runneR","Sayf","Mulgan95"
FUT Esports,"1184","EMEA","Tier 1","MrFaliN","yetujey","AtaKaptan","xeus","qRaxs","Mol"
Natus Vincere,"4915","EMEA","Tier 1","ANGE1","Shao","Zyppan","SUYGETSU","ardiis","LATEKS"
Team Heretics,"1001","EMEA","Tier 1","Boo","MiniBoo","Wo0t","RieNs","benjyfishy","neilzinho"
Gentle Mates,"12694","EMEA","Tier 1","beyAz","TakaS","nataNk","Wailers","K4DAVRA","logaN"
GIANTX,"14419","EMEA","Tier 1","Famsii","purp0","Fit1nho","hoody","Cloud","Redgar"
KOI,"7035","EMEA","Tier 1","starxo","kamo","ShadoW","grubinho","sheydos","Noizeeh"
Gen.G,"17","Pacific","Tier 1","Munchkin","t3xture","yoman","Foxy9","Karon","solo"
Team Secret,"6199","Pacific","Tier 1","JessieVash","invy","Wild0reoo","Jremy","2ge","yamyam yui"
T1,"14","Pacific","Tier 1","stax","Sylvan","Meteor","iZu","BuZz","Wawa"
Global Esports,"918","Pacific","Tier 1","Russ","blaZek1ng","Lightningfast","Polvi","Benkai","Hose Son"
BLEED,"6387","Pacific","Tier 1","sScary","Zest","Retla","Deryeon","crazyguy","yay"
DRX,"8185","Pacific","Tier 1","MaKo","Flashback","freeing","HYUNMIN","Athan","termi"
Paper Rex,"624","Pacific","Tier 1","mindfreak","Jinggg","f0rsakeN","d4v41","something","JdFaker"
Talon Esports,"8304","Pacific","Tier 1","Crws","JitBoyS","primmie","ban","Governor","Surf"
Rex Regum Qeon,"878","Pacific","Tier 1","xffero","Monyet","Kush","Jemkin","Estrella","Kingmaker"
ZETA DIVISION,"5448","Pacific","Tier 1","Dep","SugarZ3ro","CLZ","SyouTa","Xdll","Carlao"
DetonatioN FocusMe,"278","Pacific","Tier 1","Meiy","Art","Jinboong","Akame","SSeeS","gyen"
Moist x Shopify,"13188","North America","Tier 2","flyuh","v1c","mada","brawk","oderus","Connor Larkin"
QoR,"6985","North America","Tier 2","snarly","zeldris","XXiF","tdawgg","nerve","SoupBerries"
Oxygen Esports,"10725","North America","Tier 2","mitch","skuba","Verno","Reduxx","dapr","wrap"
FLUFFY AIMERS,"15606","North America","Tier 2","Paincakes","Jonaaa6","neptune","mummAy","bones","Vapor"
YFP Gaming,"5038","North America","Tier 2","fiziq","jakee","Will","penny","thief","sacred"
Blinn,"9613","North America","Tier 2/CVal","mikeE","Okeanos","monSi","Teague","Spaz","FIN"
DarkZero Esports,"11836","North America","Tier 2","stellar","wedid","Add3r","corey","bdog","mayuhri"
M80,"11001","North America","Tier 2","neT","zander","NiSMO","koalanoob","BcJ","Happy"
SaD Esports,"13920","North America","Tier 2/CVal","alvinboy","Dark3st","scarn","Cohburg","dip","vexel"
TSM,"106","North America","Tier 2","seven","gMd","sym","tdawgg","XXiF","Faded"
Winthrop University,"10448","North America","Tier 2/CVal",NA,"Jerk","infiltrator","Nahsie","silenx",""
Dough Bros,"13232","North America","Tier 2","Precision","riku","Drone","ZachaREEE","Ange",NA
Apeks,"11479","Polaris","Tier 1","hype","kaajak","MOLSI","soulcas","AvovA","Leonieahh"
SweetNsour,"14467","Polaris","Tier 2","Tempo","Creamydreamy","Ticey","HearthBeat","Famzzam",NA
OnlyFins,"7932","Polaris","Tier 2","Feeqn","nixoon","Jesmu","Snowi","Ale","f0bia"
NXT,"13224","Polaris","Tier 2","Bully","chanformer","Dev0","MaximN","ReQz","Raymon"
Formulation Gaming,"10417","Polaris","Tier 2","puggy","SemberN","ri4d","Jaf","Demiurge","NoBrim"
Metizport,"12489","Polaris","Tier 2","Waken","OzzyTK","Luca","Marky","melo","Rivenary"
apinaorkesteri,"12679","Polaris","Tier 2","Drog","Vitie","BrÃ¤di","Kalkkuna","chukL9","Kicygo"
Requiem,"14523","Polaris","Tier 2","T0BA","szoren","ianto","Deqadz","harambe",NA
Chipi Chapa's,"14429","East Surge","Tier 2","globeX","NINJA","SerialKiller","ZachKappa","bzt",""
Diamant Esports,"8049","East Surge","Tier 2","xiTsha","westside","Thander","Grmekista","Prti","Pa1ze"
GoNext Esports,"12474","East Surge","Tier 2","zeek","alexiiik","Buld","PROFEK","Minny","Yaba"
Acend,"3531","East Surge","Tier 2","ALIVE","musashi","pyrolll","cullumx","chiwa","Vuubit"
Zero Tenacity,"8946","East Surge","Tier 2","Krizz","snikk","kenobi","ALMO","Freyy","AjMERiTO"
ESC Gaming,"8996","East Surge","Tier 2","Hitch","shy","nyczu","Treelover","qxv",NA
NOM Esports,"6191","East Surge","Tier 2","nero","Zneva","litshii","Bard0lf","Chadi","g I L"
Incognito,"6235","East Surge","Tier 2","msh","Stix","adm1k","darkosek","demek",NA
B8 Esports,"7243","East Surge","Tier 2","arch","WanZeru","Nunmeister","RARE","Kajuks","kauk"
trashcan,"9621","East Surge","Tier 2","luckyMrJ","Danda","ANXiOS","f4ngeer","TajReX","futurez"
Zerance,"9559","France","Tier 2","Babax","Jady","UNFAKE","lux9","Veqaj","AwakÃ©"
Mandatory,"7967","France","Tier 2","HyP","CyvOph","SoOn","thebigfiz","AKUMAAAAA","Goaster"
Cicadas Gaming,"13599","France","Tier 2","rodeN","Sp1ke","NowaXxZang","Yuta","Yohpa","Knacky"
Akroma,"12256","France","Tier 2","TiduS","OniBy","bramz","soren","Killu","QuentinBTX"
